#,单词,音标,解释,笔记 
792,"pledge","英:/pledʒ/ 美:/plɛdʒ/","- n. 抵押；保证，誓言；抵押品，典当物
- vt. 保证，许诺；用……抵押；举杯祝……健康


时 态:  
pledged, pledging, pledges",
793,"plunge","英:/plʌn(d)ʒ/ 美:/plʌndʒ/","plunge
  [plunged, plunged, plunging]
 plunge in 
     plunge in to start talking or doing something quickly and confidently, without thinking about it or preparing for it:
   ▪ It would have been better to let her explain her problems before plunging in with a lot of advice.
   ▪ I didn't really understand the conversation but I wanted to practise my French, so I plunged in anyway.
   ■ SIMILAR TO: ↑dive in
 plunge into 
  1.   plunge sth into sth to push something firmly and deeply into something else:
   ▪ Plunge the asparagus into boiling water.
   ▪ Jill plunged her hands deep into her pockets.
  2.   plunge sth/sb into sth • plunge into sth  usually passive to suddenly cause someone to be in a bad situation or state or to suddenly get into a bad situation or state:
   ▪ The whole team was plunged into gloom after their humiliating defeat.
   ▪ Another massacre has plunged Algeria into a new cycle of violence.
   ▪ Saatchi and Saatchi, the world's largest advertising group, plunged into debt after its reorganization.
  3.  plunge sth/sb into darkness to suddenly make a place dark so that the people in it have no light:
   ▪ There was a loud bang and the whole building was plunged into darkness.
   ▪ A sudden gust of wind blew the lamp out plunging us all into darkness.
  4.   plunge into sth to suddenly begin to take part in something without thinking about the possible results:
   ▪ You need to work out your finances carefully, before you plunge into the housing market.
   ▪ Forsyth plunged into a series of disputes that was to end in his downfall.
   ■ SIMILAR TO: ↑dive into",
794,"plunging","/'plʌndʒɪŋ/","adj. 跳进的,突进的",
795,"plush","英:/plʌʃ/ 美:/plʌʃ/","- adj. 豪华的；长毛绒做的；舒服的
- n. 长毛绒


比较级:  
plusher, plushest",
796,"pocket","英:/'pɒkɪt/ 美:/'pɑkɪt/","- n. 口袋；钱；容器
- vt. 隐藏；忍受；将…放入衣袋
- vi. 形成袋或囊
- adj. 小型的，袖珍的；金钱上的


时 态:  
pocketed, pocketing, pockets 

形容词:  
pocketable",
797,"polish","英:/ˈpɒlɪʃ/ 美:/ˈpɑlɪʃ/","polish
  [polished, polished, polishing]
 polish off  informal
  1.   polish off sth • polish sth off to finish food, drink, or work, quickly and easily:
   ▪ When I got home, Mrs Marsh had polished off half the biscuits in the tin.
   ▪ It didn't take me long to polish off the shopping at the local supermarket.
  2.   polish off sb informal to defeat another person or team in a game, election etc:
   ▪ Steffi Graff polished off Venus Williams, 6-2, 3-6, 6-4.
   ■ SIMILAR TO: ↑beat, defeat
 polish up 
  1.   polish up sth • polish sth up to improve your knowledge of something, or something that you do, by practising it or working at it:
   ▪ I started going to evening classes to polish up my French.
   polish up your act (=improve how you do something)
   ▪ A sixteen-year old street musician from Oxford has polished up his act and won a national jazz competition.
   ■ SIMILAR TO: brush up
  2.   polish up sth • polish sth up to rub an object with a piece of cloth in order to make it shine:
   ▪ Put a clean shirt on and polish up those shoes - make yourself look respectable.
   ■ SIMILAR TO: ↑polish
  3.  polish up your image/reputation to make an effort to improve the way you seem to other people so that they will have a better opinion of you:
   ▪ The government was trying to polish up its image after a year of negative publicity in 1995.
   ■ SIMILAR TO: ↑clean up",
798,"ponderous","英:/'pɒnd(ə)rəs/ 美:/'pɑndərəs/","- adj. 沉重的，笨重的
- 呆板的；沉闷的",
799,"popularization","/ˌpɔpjulərai'zeiʃən/","n. 普及",
800,"popularize","英:/ˈpɔpjələˌraɪz/ 美:/'pɑpjələraɪz/","- vt. 使受欢迎，使有名望
- 普及，推广
- 使通俗化；使易懂

时 态:  
popularized，popularizing，popularizes 

名 词:  
popularization

名 词:  
popularizer",
801,"porch","英:/pɔːtʃ/ 美:/pɔrtʃ/","n. 门廊；走廊",
802,"pore","英:/pɔː/ 美:/pɔr/","pore
  [pored, pored, poring]
 pore over 
     pore over sth to read, or study something very carefully for a long time:
   ▪ We pore over the local newspaper every week, hoping to find an affordable apartment.
   ▪ Most evenings, my father sits in his chair and pore over an issue of National Geographic.",
803,"pork","英:/pɔːk/ 美:/pɔrk/","pork
  [porked, porked, porking]
 pork out 
    port out AmE to eat a lot of food, especially food that is bad for you:
   ▪ My diet was going well, but then I totally porked out this weekend.
   ■ SIMILAR TO: ↑pig out  informal, stuff yourself  informal",
804,"porosity","英:/pɔː'rɒsɪtɪ/ 美:/pɔ'rɑsəti/","n. 多孔性,有孔性",
805,"porridge","英:/'pɒrɪdʒ/ 美:/'pɔrɪdʒ/","- n. 粥, 麦片粥
- 坐牢；蹲班房",
806,"portmanteau","英:/pɔːt'mæntəʊ/ 美:/ˌpot'mænto/","n. 旅行皮箱,混成词",
807,"possess","英:/pə'zes/ 美:/pə'zɛs/","possess
 be possessed of 
     be possessed of sth formal to have a particular quality or ability:
   ▪ She was possessed of extraordinary powers of concentration.
   ▪ They knew of only one man who was possessed of such knowledge.
   ■ SIMILAR TO: ↑have",
808,"possessive","英:/pə'zesɪv/ 美:/pə'zɛsɪv/","- adj. 所有(权)的；不愿分享的
- 所属关系的，所有格的
- n. 表示所属关系的词或词语形式
- adv. 占有地；所属关系地
- n. 占有，占有欲
- 所有格形容词",
809,"postpone","英:/pəʊs(t)'pəʊn/ 美:/po'spon/","- vt. 使…延期；把…放在次要地位；把…放在后面
- vi. 延缓，延迟；延缓发作


时 态:  
postponed, postponing, postpones 

名 词:  
postponement

名 词:  
postponer",
810,"postprocessing","/pəust,prəu'sesiŋ/","n. 后加工",
811,"pot","英:/pɒt/ 美:/pɑt/","pot
  [potted, potted, potting]
 pot on 
     pot on sth • pot sth on BrE to move a young plant to a larger pot:
   ▪ The cuttings should be potted on once the new growth has started to emerge.
 pot up 
     pot up sth • pot sth up BrE to put a plant in a pot:
   ▪ Pot up the seedlings after 2-3 weeks.",
812,"potential","英:/pə(ʊ)'tenʃ(ə)l/ 美:/pə'tɛnʃl/","adj. 潜在的, 有可能的
n. 潜力；电位；电势；可能性

副 词:  
potentially",
813,"pound","英:/paʊnd/ 美:/paʊnd/","pound
 pound out 
  1.   pound out  usually progressive
  if music is pounding out, it is playing very loudly:
   ▪ Heavy metal music was pounding out in my son's bedroom.
  if you pound out music, you play it very loudly on instruments:
   ▪ I turned on the TV to see the Rolling Stones pounding out one of their old numbers.
  2.   pound out sth • pound sth out to write something very quickly, especially on a computer or typewriter:
   ▪ Follet was pounding out the final chapter of his latest spy thriller on his old typewriter.
  3.  pound out hits/wins/a victory especially AmE to succeed in achieving a winning score in a game of sport, by competing very hard:
   ▪ In the second game, the Waves pounded out 14 hits against the Broncos.",
814,"preach","英:/priːtʃ/ 美:/pritʃ/","- vt. & vi. 讲道
- 劝诫；说教

时 态:  
preached，preaching，preaches",
815,"precept","英:/'priːsept/ 美:/'prisɛpt/","n. 格言；规则；训诫；命令",
816,"predate","英:/priː'deɪt/ 美:/pri'det/","v. 提早日期,居先

时 态:  
predated, predating, predates",
817,"predicate","英:/'predɪkət/ 美:/'prɛdɪkət/","- vt. 断言；断定
- n. 谓语

时 态:  
predicated, predicating, predicates 

名 词:  
predication

形容词:  
predicative

副 词:  
predicatively",
818,"prejudice","英:/'predʒʊdɪs/ 美:/'prɛdʒədɪs/","- n. 成见, 偏见, 歧视
- vt. 使有偏见
- 不利于, 损害

时 态:  
prejudiced, prejudicing, prejudices",
819,"preliminary","英:/prɪ'lɪmɪn(ə)rɪ/ 美:/prɪ'lɪmɪnɛri/","- adj. 初步的, 预备的, 开端的
- n. 准备工作, 初步行动",
820,"preposition","英:/ˌprepə'zɪʃ(ə)n/ 美:/ˌprɛpə'zɪʃən/","n. 介词

时 态:  
prepositioned, prepositioning, prepositions",
821,"prerogative","英:/prɪ'rɒgətɪv/ 美:/prɪˈrɑɡətɪv/","- n. 权利,特权
- 大主教法庭
- 总督委任组成的法庭",
822,"prescription","英:/prɪ'skrɪpʃ(ə)n/ 美:/prɪ'skrɪpʃən/","- n. 药, 治疗方法
- 处方, 药方
- 开处方, 开药",
823,"presidency","英:/'prezɪd(ə)nsɪ/ 美:/'prɛzɪdənsi/","- n. 总统的职位
- 总统的任期",
824,"press","英:/pres/ 美:/prɛs/","press
  [pressed, pressed, pressing]
 press ahead 
     press ahead to continue doing something in a determined way, especially when it is difficult:
   ▪ We will press ahead to complete the construction as soon as possible.
   + with
   ▪ Iliescu said the government must press ahead with reforms, despite growing opposition.
   ■ SIMILAR TO: ↑press on, ↑press forward ►  compare  ↑go ahead
 press for 
  1.   press for sth • press sb for sth to keep trying to persuade the government or someone in authority to do something or to give you something - used especially in news reports:
   ▪ Russia and China were pressing for an end to the bombing of Kosovo.
   ▪ The engineering unions have been pressing for a 35 hour working week.
   ▪ Brazil's Catholic Church has encouraged its members to press the government for social reform.
   ■ SIMILAR TO: ↑push for
  2.  be pressed for time/money/space etc to not have enough time, money, space etc, with the result that it is difficult for you to do something:
   ▪ If you are pressed for time in the mornings, try setting the alarm 30 minutes earlier.
   ▪ I'd love to go out for a meal, but I'm a little pressed for cash right now.
   ■ SIMILAR TO: be short of
 press forward 
     press forward to continue doing something in a determined way, especially even though it is difficult or you face opposition
   + with
   ▪ Eastwood plans to press forward with his $20 million lawsuit against the paper.
   ▪ France and Germany decided to press forward with plans for economic and monetary union.
   ■ SIMILAR TO: ↑press ahead, ↑press on
 press on 
  1.   press on to continue doing something in a determined way, even though it is difficult
   + with
   ▪ Gorbachev was keen to press on with modernizing the party.
   ▪ Rebels vowed to press on with their efforts to overthrow the current government.
   ▪ After university, she pressed on with her ambition to become a journalist, despite fierce competition for jobs.
   ■ SIMILAR TO: ↑press ahead, ↑press forward ►  compare  ↑go ahead
  2.   press on to continue with your journey, even though it is very difficult:
   ▪ The soldiers pressed on, hoping to reach camp before nightfall.
   ▪ I know you're all tired, but I think we should press on.
   ■ SIMILAR TO: ↑press ahead, ↑press forward, ↑push on
 press on/upon ! Press upon  is more formal than  press on, and is mostly used in writing.
     press sth on/upon sb to offer something to someone in a very forceful way, so that it is very difficult for them to refuse to accept it:
   ▪ Mrs. Donovan pressed the gown upon Heidi and insisted she wear it to the party.
   ▪ Nick kept pressing drinks on me all night.",
825,"prevail","英:/prɪ'veɪl/ 美:/pri'vel/","prevail
  [prevailed, prevailed, prevailing]
 prevail on/upon 
     prevail on/upon sb formal to succeed in persuading someone to do something, especially when they do not want to do it:
   ▪ General Hawthorne managed to prevail on him to fly to Surubaya.
   ▪ Weir, who had been prevailed upon to play the piano, went red with embarrassment.
   ■ SIMILAR TO: persuade, cajole (into)",
826,"prevalent","英:/'prev(ə)l(ə)nt/ 美:/'prɛvələnt/","adj. 普遍的, 盛行的, 流行的",
827,"privilege","英:/'prɪvɪlɪdʒ/ 美:/'prɪvlɪdʒ/","- n. 特权；优待

- vt.给予…特权；特免

时 态:  
privileged, privileging, privileges",
828,"process","英:/'prəʊses/ 美:/'prɑsɛs/","- vt. 处理；加工
- n. 过程，进行；方法，步骤；作用；程序；推移
- vi. 列队前进
- adj. 经过特殊加工（或处理）的",
829,"produce","英:/prə'djuːs/ 美:/prə'dus/","- vt. 生产；引起；创作
- n. 农产品，产品
- vi. 生产，创作


时 态:  
produced, producing, produces",
830,"proficient","英:/prə'fɪʃ(ə)nt/ 美:/prə'fɪʃnt/","adj. 精通的, 熟练的",
831,"projection","英:/prə'dʒekʃ(ə)n/ 美:/prə'dʒɛkʃən/","- n. 投掷,发射,喷射
- 投影,投影图
- 预测；推断；设想
- (电影)放映室",
832,"promise","英:/'prɒmɪs/ 美:/'prɑmɪs/","- n. 许诺，允诺；希望
- vt. 允诺，许诺；给人以…的指望或希望
- vi. 许诺；有指望，有前途


时 态:  
promised, promising, promises 

名 词:  
promiser",
833,"promotional","英:/prəˈməuʃənl/ 美:/prə'moʃənl/","adj. 促销的",
834,"propagate","英:/'prɒpəgeɪt/ 美:/'prɑpə'get/","- vt. & vi. 繁衍，增殖
- vt. 传播；宣传，普及

时 态:  
propagated，propagating，propagates 

形容词:  
propagable

名 词:  
propagator",
835,"Proprietary","英:/prə'praɪət(ə)rɪ/ 美:/prə'praɪətɛri/","控股公司
proprietary
- adj. 私有的
- 专利的, 有专利权的, 独占的
- 业主的",
836,"prospectors","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
837,"pry","英:/praɪ/ 美:/praɪ/","pry
  [pried, pried, prying]
 pry out 
     pry sth out if you pry information out of someone, you make them tell it to you, even though they do not want to
   + of
   ▪ At first he wouldn't tell me the girl's name, but in the end I finally managed to pry it out of him.
   ■ SIMILAR TO: ↑drag out",
838,"publicity","英:/pʌb'lɪsɪtɪ/ 美:/pʌb'lɪsəti/","- n. 公众的注意, 众所周知
- 宣传, 宣扬",
839,"pulsate","英:/pʌl'seɪt/ 美:/'pʌlset/","vi. 搏动；悸动；有规律地跳动


时 态:  
pulsated, pulsating, pulsates",
840,"pump","英:/pʌmp/ 美:/pʌmp/","pump
  [pumped, pumped, pumping]
 pump away 
  1.   pump away to work hard at something by moving continuously in and out or up and down:
   ▪ Increase your pace until you can feel your heart pumping away efficiently.
   ▪ Karen was in the gym, pumping away on a stationary bicycle.
  2.   pump sth away • pump away sth to remove a liquid or gas by forcing it to flow in a particular direction using a special machine called a pump:
   ▪ All together they pumped away about 150,000 gallons of flood water.
 pump in 
     pump sth in • pump in sth to provide a lot of money in order to make a particular plan, place, or organization successful:
   ▪ Eventually the government will see the need to pump in more money to get good teachers.
   ■ SIMILAR TO: ↑inject, ↑invest
 pump into 
     pump sth into sth to put a lot of money into a particular plan, place, or organization to make it successful:
   ▪ The administration plans to pump $I trillion dollars into defence spending over this period.
   ▪ A lot of investors have pumped money into large companies such as Coca-Cola Co.
   ■ SIMILAR TO: invest (into), invest (in)
 pump out 
  1.   pump sth out • pump out sth to force a liquid or gas to flow out of a place by using a special machine called a pump
   + of
   ▪ This engine was originally used for pumping water out of the mines.
  2.   pump out to flow out of a place quickly, continuously and in large amounts
   + of
   ▪ Blood was pumping out of a deep wound in his side.
  3.   pump out sth • pump sth out to produce something continuously in large amounts - use this especially when you disapprove of it:
   ▪ Every year the city's industries and vehicles pump out five million tonnes of pollutants. ►  compare  ↑churn out
 pump up 
  1.   pump up sth • pump sth up to fill something with air, for example a tyre, using a special tool or machine called a pump:
   ▪ I had to pump up the tyres on my bike before I could leave.
   ■ SIMILAR TO: ↑blow up, inflate  formal
   ■ OPPOSITE: let down
  2.   pump sth up • pump up sth  usually passive to force liquid to come up from a place under the ground to the surface, using a special machine called a pump:
   ▪ Salt water is pumped up from deep below the ground.
  3.   pump sb up • pump up sb informal, especially AmE to make someone feel very confident or excited about something:
   ▪ Jody's parents have always pumped her up with their enthusiastic support.
    pumped-up adj  very confident or excited, especially in an annoying or unpleasant way:
   ▪ Everybody disliked the pumped-up ways of the college boys who came into town at the weekend.
  4.   pump up sth • pump sth up informal, especially AmE to increase the amount or number of something - use this especially about prices, taxes, sales etc:
   ▪ At least the government haven't pumped up taxes yet.
   ▪ The flu epidemic has pumped up sales of health products over the Christmas period.
  5.   pump up sth • pump sth up informal, especially AmE to make something improve:
   ▪ Economists assumed that central banks could pump up the economy and drive down the unemployment rate.
   ■ SIMILAR TO: ↑improve
  6.   pump up AmE informal to lift weights so that you become stronger:
   ▪ If you want to pump up, you'll need to go to the gym regularly.
    pumped up adj  AmE informal having a lot of muscles because you lift weights:
   ▪ Linda Hamilton plays the pumped up heroine in 'Terminator 2'.",
841,"puppet","英:/'pʌpɪt/ 美:/'pʌpɪt/","- n. 木偶, 玩偶
- 受他人操纵的人或集团, 傀儡",
842,"puppy","英:/'pʌpɪ/ 美:/'pʌpi/","n. 小狗，幼犬",
843,"purse","英:/pɜːs/ 美:/pɝs/","- n. 钱包，小钱袋；金钱，财源
- vt. 皱起，缩拢


时 态:  
pursed, pursing, purses",
844,"push","英:/pʊʃ/ 美:/pʊʃ/","push
  [pushed, pushed, pushing]
 push about 
   ► see ↑push around
 push ahead 
     push ahead to continue doing or planning something, even though there are some problems:
   ▪ I'd like you all to push ahead and get the job done as soon as possible.
   + with
   ▪ If the group decides to push ahead with the plan, they will then look for more EC funding.
   ■ SIMILAR TO: ↑press ahead
 push around 
     push sb around/about to tell someone what to do in a rude way, especially without considering what they want:
   ▪ Why do you always let other people push you around?
   ▪ I was beginning to feel I was being pushed about at work, and lost some of my enthusiasm.
   ■ SIMILAR TO: ↑boss around, ↑shove around  informal
 push along 
  1.  must/should etc be pushing along spoken used to say that you think it is time for you to leave a place:
   ▪ Well, I must be pushing along - it's getting dark already.
   ■ SIMILAR TO: I must be getting along
  2.   push along • push along sth • push sth along to make good progress, or to help something make good progress:
   ▪ The growth rate of the European market is also pushing along at 12%.
   ▪ They are determined to push along talks between Democrats and Republicans.
 push aside 
  1.   push sth aside • push aside sth to decide not to think about something, for example because it is unpleasant or you want to think about something else instead:
   ▪ For a moment Denny felt guilty - but she quickly pushed it aside.
   ▪ This is a very difficult idea to understand properly, but it should not be pushed aside for that reason.
  2.  be pushed aside if someone is pushed aside by someone else, they are forced out of their present job, position etc by someone else who takes their place:
   ▪ Lugar had done a good job as chairman of the committee, but he was pushed aside by Jesse Helms.
   ▪ There was some concern that the Institute would be pushed aside by larger companies.
 push back 
  1.   push sth back • push back sth  usually passive to deliberately delay an event, date, project etc that has already been arranged, usually because people are not ready for it, or other things are more important:
   ▪ The start date for the talks has now been pushed back to the end of the month.
   ■ SIMILAR TO: ↑put back, ↑put off, postpone
  2.   push back sth • push sth back to force an army or a crowd to move backwards from their present position:
   ▪ Police pushed the crowd back from the gates of the palace.
   ▪ By that summer, Russian forces had been pushed back as far as Moscow.
  3.  push back the boundaries/frontiers of sth if someone pushes back the boundaries of human knowledge or ability, they make the amount that we know or are able to do greater than it was before:
   ▪ Science has, by pushing back the boundaries of human knowledge, given us much that has enriched our lives.
   ▪ Throughout the twentieth century, we have continued to push back the frontiers of travel.
 push for 
     push for sth to try to persuade people that something should happen or be done:
   ▪ The improved economy will provide a better climate for workers to push for higher wage rates.
   ▪ Kehoe said she will push for more after-school activities aimed at keeping kids off the streets.
   ■ SIMILAR TO: ↑press for
 push forward 
  1.   push forward • push forward sth • push sth forward to continue doing or planning something in a determined way:
   ▪ At that time France was pushing forward the development of its own nuclear weapons.
   + with
   ▪ The British and Irish governments were attempting to push forward with the peace process.
  2.   push forward sth • push sth forward to try to make people think about or accept a particular idea or subject that you believe is important:
   ▪ He was still trying to push forward the idea of a coalition government.
  3.  push yourself forward to deliberately put yourself in a situation where you will be noticed by other people, especially in order to get an advantage for yourself:
   ▪ Nicola knew that she would have to push herself forward if she wanted to be offered the role.
   ■ SIMILAR TO: promote yourself
  4.   push forward if an army pushes forward, it makes progress by moving further in a particular direction, especially in an enemy country:
   ▪ The western armies were pushing forward rapidly as planned, but the troops were becoming exhausted.
  5.  push forward the boundaries/ bounds/ frontiers of sth if someone pushes forward the boundaries of what is acceptable or possible, they make more things acceptable or possible than before:
   ▪ researchers who are pushing forward the boundaries of scientific knowledge
 push in 
     push in BrE informal to force yourself in front of other people who are already waiting in a line for something, instead of waiting for your turn:
   ▪ We were just about to get on the bus when someone else pushed in.
   ▪ I couldn't believe it when that man came along and pushed in at the front of the queue.
   ■ SIMILAR TO: ↑barge in
 push into 
     push sb into sth to force someone to do something that they do not really want to do by being very forceful or using your influence or power:
   ▪ At the time I didn't want to stay on at school, but I'm glad my parents pushed me into it now.
   push sb into doing sth
   ▪ Gloria was always pushing Jett into taking her side in arguments,
   be pushed into sth
   ▪ A lot of these women arrive hoping for employment, and are pushed into virtual slavery.
   ■ SIMILAR TO: force (into)
 push off 
  1.  push off! BrE spoken informal used to rudely tell someone to go away, usually because you are angry with them:
   ▪ &quot;Push off,&quot; she shouted. &quot;How dare you come here?&quot;
   ▪ I told him to push off and he hit me.
   ■ SIMILAR TO: ↑go away, clear off!  spoken informal, especially BrE
  2.   push off BrE informal to leave a place:
   ▪ If you're feeling okay, we'll push off now and see you again tomorrow.
   ▪ It's time I pushed off home - they'll be wondering where I am.
   ■ SIMILAR TO: ↑leave
  3.   push off to start moving in a boat, on a bicycle, or swimming by pushing against something with your arms, legs etc:
   ▪ We hurriedly pushed off and rowed out into the middle of the river.
   ▪ Brenda pushed off from the kerb and began to ride away.
 push on 
  1.   push on to continue travelling somewhere instead of stopping, especially when it is a long way:
   ▪ Finding the roads almost traffic-free, I decided to push on towards the west coast.
   ■ SIMILAR TO: ↑press on, keep going
  2.   push on to continue doing something in a determined way, especially when it involves a lot of work or effort:
   ▪ Charlie was a great leader - he could motivate everybody to push on.
   with
   ▪ The president decided to push on with his re-election campaign, despite his heart problems.
   ■ SIMILAR TO: ↑carry on, ↑press on
 push out 
     push sb out • push out sb to force someone to lose their position by being unpleasant to them or telling them they are no longer needed:
   ▪ Many children feel they have been pushed out when a new baby arrived in the family.
   ■ SIMILAR TO: ↑squeeze out
 push over 
     push sb/sth over • push over sb/sth to make someone or something fall to the ground by pushing them:
   ▪ One of the older boys had pushed him over and sat on him.
   ▪ Maggie jumped up quickly, pushing her chair over by mistake.
    pushover n  singular something that is easy to do or a person who is easy to persuade:
   ▪ Schoodic Mountain is 1.069 feet, so climbing it is no pushover.
   ▪ Because Tom is quiet and polite, people tend to think he's a pushover.
 push through 
     push through sth • push sth through to succeed in getting a plan, law etc officially accepted, especially quickly:
   ▪ It will be hard for the government to push through such an ambitious programme of reform.
   ▪ Reagan pushed through the greatest increase in defense spending in American history.
   ■ SIMILAR TO: ↑rush through
 push to 
    push the door/window to especially BrE to close or nearly close a door or window by pushing it:
   ▪ Marcus put out the light, climbed out of the window and pushed it to.
   ■ SIMILAR TO: ↑close
 push towards 
  1.   push sb towards/toward sth to strongly influence or encourage someone to do or achieve something:
   ▪ Both the Fittipaldi brothers were strongly pushed towards motor racing by their father's enthusiasm.
   ▪ Officials met on Tuesday in an effort to push negotiators towards a settlement.
  2.   push towards/toward sth to try hard to do or achieve something:
   ▪ The country has been pushing towards independence for nearly ten years.
 push up 
     push sth up • push up sth to make the price, rate, amount etc of something increase:
   ▪ House sales are increasing again, which in turn is starting to push up prices.
   ▪ If wages start to rise more rapidly, it will push the rate of inflation up.
   ■ SIMILAR TO: force (up)",
845,"put up with","","put up with
     put up with sth/sb to accept an unpleasant situation or someone's annoying behaviour without complaining:
   ▪ The police have to put up with a lot of abuse.
   ▪ I'm surprised that she's put up with him for all of these years.
   ▪ There's nothing anyone can do. You'll just have to put up with it.
   ■ SIMILAR TO: tolerate, ↑live with, ↑stand for",
846,"quantitative","英:/'kwɒntɪ,tətɪv/ 美:/'kwɑntətetɪv/","adj. 数量(上)的

副 词:  
quantitatively",
847,"quaternions","/kwə'tə:niən/","四元法",
848,"queer","英:/kwɪə/ 美:/kwɪr/","- adj. 奇怪的；不舒服的；心智不平衡的；同性恋的
- vt. 搞糟；使陷于不利地位
- n. 同性恋者；怪人；伪造的货币


比较级:  
queerer, queerest 

形容词:  
queerish

副 词:  
queerly

名 词:  
queerness",
849,"quinceanera","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
850,"quirk","英:/kwɜːk/ 美:/kwɝk/","n. 怪癖；急转；借口


副 词:  
quirkily

名 词:  
quirkiness

形容词:  
quirky",
851,"quit","英:/kwɪt/ 美:/kwɪt/","quit
  [quit, quit, quitting]
 quit of 
  1.  be quit of sth formal to get rid of something or someone that was causing you problems:
   ▪ Ethel had become tired of Henry's selfish demands, and now she was determined to be quit of him.
   ■ SIMILAR TO: be rid of
  2.   quit on sb AmE to stop helping someone or working with them, when they need you:
   ▪ So you're going to quit on me? And I thought I could rely on you.
   ▪ Rony acted like a child - he quit on his teammates, just when they needed him.
   ■ SIMILAR TO: ↑let down
  3.   quit on sb AmE if a machine or vehicle quits on you, it stops working while you are using it or when you need to use it:
   ▪ Then his computer simply quit on him and he lost his temper.
   ▪ The van was almost out of gas and we were afraid it might quit on us.",
852,"quotient","英:/'kwəʊʃ(ə)nt/ 美:/'kwoʃnt/","n. 商,商数",
853,"ragtag","英:/'rægtæg/ 美:/'ræɡtæɡ/","n. 贱民,下等人",
854,"rake","英:/reɪk/ 美:/rek/","rake
  [raked, raked, raking]
 rake in 
     rake in sth spoken to earn a large amount of money, especially without working very hard:
   ▪ Forbes magazine published a report asserting the nation's top 134 lawyers together raked in some $860 million in one year.
   be raking it in
   ▪ Everyone assumes that if you're on TV, you must be raking it in.
 rake off 
     rake off sth • rake sth off especially BrE to get part of the profits of a business or organization dishonestly:
   ▪ He headed a special fund for the handicapped, and was widely believed to have raked off much of the cash for himself.
   ■ SIMILAR TO: ↑skim off
    rake-off n  C BrE a share of a profits, which someone has obtained dishonestly:
   ▪ The taxi-driver gets a rake-off from the hotel.
 rake over 
     rake over sth if you rake over something unpleasant that happened in the past, you talk or think about it again and again, when it would be better to forget it:
   ▪ &quot;There's no point in raking over the past,&quot; my mother always said, but I wanted to know what had happened.
 rake up 
  1.   rake up sth • rake sth up to talk about something unpleasant from the past that people do not want you to mention, because it is upsetting or embarrassing:
   ▪ I don't want reporters coming here, raking up the past.
   ▪ They don't seem to realise how painful it is for her to have all this raked up again.
   ■ SIMILAR TO: ↑dwell on/upon
  2.   rake sth up • rake up sth to collect things together for a particular purpose, when this is difficult to do:
   ▪ Between them they only managed to rake up $50.",
855,"randomness","/'rændəmnis/","n. 随意,无安排",
856,"ransom","英:/'ræns(ə)m/ 美:/'rænsəm/","- vt. 赎回，赎；勒索赎金；得赎金后释放；[宗]救赎
- n. 赎金；赎身，赎回

Ransom兰塞姆(姓氏)

时 态:  
ransomed, ransoming, ransoms 

名 词:  
ransomer",
857,"rasp","英:/rɑːsp/ 美:/ræsp/","- vt. 用粗锉刀锉；粗声粗气地说
- vi. 锉磨；用粗嘎的嗓门说
- n. 粗锉刀；锉磨声；刺耳声


时 态:  
rasped, rasping, rasps 

名 词:  
rasper

副 词:  
raspingly",
858,"rate","英:/reɪt/ 美:/ret/","- n. 比率，率
- (运动、变化等的)速度；进度
- 费用，价格
- 房地产税，市政服务税
- 等级，水准
- vt. 估价；评估征税现值
- vt. & vi. 认为；把…算作
- vt.，link v. 定级

时 态:  
rated，rating，rates",
859,"rational","英:/'ræʃ(ə)n(ə)l/ 美:/'ræʃnəl/","- adj. 理性的；合理的
- n. 有理数


副 词:  
rationally",
860,"ratios","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
861,"raveled","","Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典",
862,"readily","英:/'redɪlɪ/ 美:/'rɛdɪli/","adv. 容易地；乐意地；无困难地",
863,"readjust","英:/riːə'dʒʌst/ 美:/ˌriə'dʒʌst/","- vi. 再调整；重新适应
- vt. 使…重新调整；使…重新适应


时 态:  
readjusted, readjusting, readjusts 

名 词:  
readjustment",
864,"realm","英:/relm/ 美:/rɛlm/","- n. 领域；范围
- 王国，国度",
865,"recession","英:/rɪ'seʃ(ə)n/ 美:/rɪ'sɛʃən/","- n. 经济衰退; 不景气
- 后退; 撤退; 撤回",
866,"reciprocal","英:/rɪ'sɪprək(ə)l/ 美:/rɪ'sɪprəkl/","adj. 互相给予的; 互惠的; 相互的

副 词:  
reciprocally",
867,"reciprocate","英:/rɪ'sɪprəkeɪt/ 美:/rɪ'sɪprəket/","- vt. & vi. 报答；酬答
- vi. (机器的部件)直线往复运动

时 态:  
reciprocated，reciprocating，reciprocates 

名 词:  
reciprocator",
