单词,解释
lopsided,"- adj. 不平等的
- 两侧不匀称〔不平衡〕的;向一侧歪斜的

名 词:  
lopsidedness"
lubricating,adj. 润滑的
lucidly,adv. 透明地；清透地；清晰地
lure,"- n. 诱惑物；诱惑；饵
- vt. 引诱；诱惑


时 态:  
lured, luring, lures"
lyrical,adj. 热情奔放的;抒情般的
maintain,"- vt. 保持；继续
- 保养，维护
- 坚持；主张
- 供给；赡养

时 态:  
maintained，maintaining，maintains 

名 词:  
maintainability

形容词:  
maintainable

名 词:  
maintainer"
mammoth,"- n. 长毛象；猛犸象；庞然大物
- adj. 猛犸似的；巨大的，庞大的"
mandatory,adj. 命令的;强制的;义务的
manually,adv. 用手地;手工地
maraud,"- vt. 掠夺；袭击
- vi. 袭击
- n. 掠夺；袭击


时 态:  
marauded, marauding, marauds 

名 词:  
marauder"
march,"march
  [marched, marched, marching]
 march on 
     march on sth to walk to a particular place in a large group in order to attack it or to protest about something:
   ▪ Mikael gathered his troops and prepared to march on Addis Ababa.
   ▪ Demonstrators marched on the government in Berlin, and demanded that its leaders answer for their policies."
marvel,"marvel
  [marvelled, marvelled, marvelling BrE] [marveled, marveled, marveling AmE]
 marvel at 
     marvel at sth to be very surprised by something, especially a quality that you admire about something or someone:
   ▪ Those who watch the programme marvel at the speed of Carole's brain.
   ▪ Visitors never cease to marvel at the beauty of the Taj Mahal.
   ▪ One can only marvel at the wisdom of the writers of the US constitution."
massacre,"- vt. 残杀；彻底击败
- n. 大屠杀；[口]惨败


时 态:  
massacred 
massacring 
massacres"
maximum,"- adj. 最大值的, 最大量的
- n. 最大的量、体积、强度等

复 数: 
maxima"
mayor,"n. 市长

形容词:  
mayoral

名 词:  
mayorship"
meditation,"- n. 默想, 默念
- 沉思, 思考；冥想"
membrane,n. 膜；薄膜；羊皮纸
memorable,"- adj. 值得纪念的,值得记忆的
- n. 值得注意的事
- adv. 值得纪念地,值得记忆地

副 词:  
memorably"
memorial,"n. 纪念碑, 纪念物"
mentally,"- adv. 心理上;精神上
- 智力上"
mercenary,"- adj. 雇用的,为钱的,唯利是图的
- adv. 雇用地,唯利是图地"
message,"- n. 消息；预言；启示；广告词；差使
- vi. 报信，报告；报文
- vt. 通知


时 态:  
messaged, messaging, messages"
meteorite,"n. 陨星

形容词:  
meteoritic"
meticulous,"adj. 极仔细的; 一丝不苟的

名 词:  
meticulosity

副 词:  
meticulously"
metro,"n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）

Metron. 地下铁路"
military,"- adj. 军事的；军人的；适于战争的
- n. 军队；军人


副 词:  
militarily"
militate,"militate
  [militated, militated, militating]
 militate against 
     militate against sth/sb formal to make it difficult or unlikely for something to happen or for someone to succeed:
   ▪ Today's crowded world militates against a sense of community.
   ▪ It has been suggested that the increasing importance of science and technology in the workplace will militate against women."
mill,"mill
  [milled, milled, milling]
 mill around 
     mill around/about • mill around/about sth informal if a lot of people mill around, they move around within a place or area, especially slowly, or while waiting for something to happen:
   ▪ There was chaos outside, with people milling around the body, waiting for an ambulance to arrive.
   ▪ The guests were milling about the courtyard, with glasses of champagne in their hands."
miller,"n. 碾磨工；磨坊主；[昆]蛾

Miller米勒(①姓氏 ②William, 1782-1849, 美国宗教领袖, 耶稣再临派教会创始人)"
million,"- n. 百万；无数
- adj. 百万的；无数的
- num. 百万


形容词:  
million"
millionaires,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
mimic,"- vt. 模仿，摹拟
- n. 小丑；仿制品；效颦者，模仿者
- adj. 模仿的，模拟的；假装的


时 态:  
mimicked, mimicking, mimics 

名 词:  
mimicker"
Mining engineering,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
minor,"minor
  [minored, minored, minoring]
 minor in 
     minor in sth AmE to study a second subject at a college or university that is less important for your degree than your main subject:
   ▪ Business students often minor in a foreign language. ►  compare  ↑major in"
misdemeanor,"- n. 不法行为
- (相对于重罪的)轻罪,小罪"
miserable,"- adj. 悲惨的，不幸的，可怜的
- 令人痛苦的；令人不快的
- 低劣的；贫乏的
- 卑鄙的，可耻的，可恶的

名 词:  
miserable

名 词:  
miserableness

副 词:  
miserably"
misleading,adj. 欺骗的;误导性的
misrepresent,"- vt. 故意对…作错误的报道
- n. 误传

时 态:  
misrepresented, misrepresenting, misrepresents 

名 词:  
misrepresentation

形容词:  
misrepresentative

名 词:  
misrepresenter"
mistake,"- n. 错误，过失，失策
- 误解，误会
- vt. & vi. 弄错；误解
- vt. 认不出

时 态:  
mistook 
mistaken 
mistaking，mistakes"
mnemonic,adj. 记忆的；助记的；记忆术的
modified,"- adj. 改良的；改进的，修改的
- v. 修改；缓和（modify的过去分词）"
modulus,"n. 系数,模数

复 数: 
moduli"
mole,"n. 防波堤；胎块；鼹鼠；痣

Mole莫尔式管道测弯仪"
moment,n. 瞬间；重要时刻；指定时刻；重要，契机
momentarily,adv. 顷刻之间；马上，立刻
monitor,"- n. 监视器，监听器，监控器，班长
- vt. 监控


时 态:  
monitored, monitoring, monitors 

名 词:  
monitorship"
monologue,"n. [戏]独白


时 态:  
monologuedalso monologged 
monologuingmonologging 
monologuesmonologs  

名 词:  
monologuist"
mor,"n. 粗腐殖质

MORabbr. Magneto-Optical Rotation 磁致旋光"
moral,"- adj. 道德的；精神上的；品性端正的
- n. 道德；寓意


副 词:  
morally"
morphology,"n. 形态学(尤指动植物形态学或词语形态学)

形容词:  
morphological

名 词:  
morphologist"
mosque,"n. 清真寺, 伊斯兰教寺院"
mucous,adj. 黏液的；分泌黏液的
mucus,n. 粘液；黏液
mull,"mull
  [mulled, mulled, mulling]
 mull over 
     mull over sth • mull sth over to think about something carefully and for a long time, often in order to make a decision or form an opinion about something
   mull it over
   ▪ &quot;I haven't taken a decision yet,&quot; Yeltsin told journalists. &quot;I'm mulling it over, thinking.&quot;
   ▪ I think you should take a couple of weeks to mull it over before you decide. ►  compare  ↑weigh up ponder  formal"
multipartite,"adj. 分成多部分的,多国参加的"
mundane,adj. 世俗的，平凡的；世界的，宇宙的
munition,"- vt. 供给军需品
- vi. 从事军需品生产
- n. 军需品；军火
- adj. 军需品的；生产军需品的


时 态:  
munitioned, munitioning, munitions"
Muppet,n. 提线木偶
murmur,"- n. 低沉、连续而不清的声音
- 低语声
- 怨言, 嘀咕
- vt. & vi. 小声说
- vi. 发出连续而低沉的声音
- 私下低声抱怨

时 态:  
murmured, murmuring, murmurs 

名 词:  
murmurer

形容词:  
murmurous"
muster,"muster
  [mustered, mustered, mustering]
 muster up 
     muster up sth • muster sth up if you muster up courage, energy etc, you find enough of it to do something, especially something difficult:
   ▪ Kim mustered up as much courage as she could, and stood up in front of the audience.
   ▪ I don't think I can even muster up the energy to go out for a walk today.
   ■ SIMILAR TO: ↑summon up"
mutually,adv. 互相地；互助
myth,n. 神话；虚构的人，虚构的事
narrate,"vt. 故事

时 态:  
narrated, narrating, narrates"
narrative,"- n. 记叙文；故事
- 叙述，讲述；叙述部分
- adj. 叙述的；叙事体的

副 词:  
narratively"
nationalist,n. 民族主义者;国家主义者
navigate,"- vt. 航行于；驾驶，操纵；使通过
- vi. 航行，航空


时 态:  
navigated, navigating, navigates"
navigation,"- n. 航行(学)；航海(术)，航空(术)
- 导航，领航

形容词:  
navigational"
need,"- vt. 需要；必须
- aux.v. 必须
- n. 需要，需求
- 责任，必要
- 需要的东西
- 贫穷；困窘

时 态:  
needed，needing，needs"
negligent,"- adj. 疏忽的;粗心大意的
- 不拘泥的;不计较的;不在乎的;随便的;无所谓的"
negotiation,"- n. 协商，谈判
- 完成(难事)；通过"
negotiator,"- n. 磋商者;交涉者
- 出售者;交易者;转让者"
nested,adj. 嵌套的
net,"- n. 网；净利；网络；实价
- vi. 编网
- vt. 净赚；得到；用网捕
- adj. 纯粹的；净余的


时 态:  
netted, netting, nets 

名 词:  
netter"
neutrino,n. 中微子
newsagent,n. 报刊经销人
nighty,n. [口]睡衣
nighty-night,int. 晚安
nitty-gritty,"n. 事实真相,本质"
nonconductor,"n. 不传导体,绝缘体"
none the less,adv. 依然
nonverbal,adj. 不用言辞表达的
norm,n. 规范，基准；定额，分配之工作量
Norse,"- adj. 挪威人的；挪威的；斯堪的纳维亚语的
- n. 挪威人；挪威语"
notorious,"adj. 臭名昭著的, 声名狼藉的

副 词:  
notoriously"
Nutrients,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
oat,"n. 燕麦,麦片粥
OATabbr. Outer Atmospheric Temperature 外层大气温度"
obedience,n. 服从;顺从;听话
obsess,"v. 使痴迷，使迷恋；使心神不宁，不停地困扰； 唠叨；挂牵，念念不忘

时 态:  
obsessed, obsessing, obsesses"
obsession,"n. 困扰, 无法摆脱的思想(或情感)

形容词:  
obsessional

副 词:  
obsessionally"
obsolete,"- adj. 老式的；废弃的
- n. 废词；陈腐的人
- vt. 废弃；淘汰


时 态:  
obsoleted, obsoleting, obsoletes 

名 词:  
obsoletism"
obstacle,"n. 障碍(物), 妨碍"
occupation,"- n. 工作; 职业
- 消遣
- 占领"
odorize,vt. 给…加臭味，给…添味；洒香水于
offish,adj. 不亲热的; 疏远的
onwards,adv. 向前
open up a slot,"Free Dictionary在线词典
韦氏在线词典
必应在线词典
柯林斯在线词典
Urban Dictionary
剑桥词典
Dictionary.com在线词典
朗文当代英语在线词典
Ox Living Dict


点击管理在线词典"
opera,"- n. 歌剧
- 歌剧艺术, 歌剧业"
optical,"adj. 光学的；眼睛的，视觉的


副 词:  
optically"
orientation,n. 方向；定向；向东方；适应；情况介绍
ornament,"- n. 装饰；装饰物；教堂用品
- vt. 装饰，修饰


时 态:  
ornamented, ornamenting, ornaments  

名 词:  
ornamenter"
outlier,"n. 露宿者,局外人,外露层"
outrageous,"adj. 骇人的;残暴的;无耻的;不道德的

副 词:  
outrageously"
outskirts,"n. 外围地区, 郊区, 郊外"
outwash,n. [地质]冰水沉积；消融，冲蚀
oval,"- adj. 卵形的；椭圆的
- n. 椭圆形；卵形


副 词:  
ovally"
overall,"- adj. 总体的；全面的；综合的
- 全面考虑的
- adv. 大体上，总的来说
- 一切包括在内，全部的
- n. 长罩衣
- 工装裤；工作裤"
overarching,"adj. 首要的；支配一切的；包罗万象的
v.  成拱形（overarch的ing形式）"
overhear,"- vt. 无意中听到；偷听
- vi. 无意中听到；偷听到


时 态:  
overheard 
overhearing, overhears 

名 词:  
overhearer"
overlap,"- n. 重叠；重复
- vi. 部分重叠；部分的同时发生
- vt. 与…重叠；与…同时发生


时 态:  
overlapped, overlapping, overlaps"
overstate,"vt. 夸大(某事)

时 态:  
overstated, overstating, overstates 

名 词:  
overstatement"
overwhelming,"adj. 势不可挡的，压倒一切的；巨大的

副 词:  
overwhelmingly"
oxide,n. [化]氧化物
paginate,"- vt. 为…标页数
- vi. 随意翻阅


时 态:  
paginated, paginating, paginates"
pain,"- n. 疼痛；努力
- vt. 使…痛苦；使…烦恼
- vi. 引起疼痛；感到疼痛


时 态:  
pained, paining, pains"
pairwise,"成对[双]地,两个两个地"
paleolithic,adj. 旧石器时代的
paleontologist,n. 古生物学者
palindrome,n. 回文
pane,n. 窗玻璃
papacy,n. 罗马教皇职位；教皇权；天主教会
parade,"- n. 游行；阅兵；行进；炫耀；阅兵场
- vt. 炫耀；游行；列队行进
- vi. 游行；列队行进；炫耀


时 态:  
paraded, parading, parades 

名 词:  
parader"
parametrize,"vt. 确定…的参数,用参数表示"
pardon,"- n. 原谅；宽恕；赦免
- vt. 原谅；赦免；宽恕


时 态:  
pardoned, pardoning, pardons 

形容词:  
pardonable

副 词:  
pardonably"
parent,"n. 父母亲；父亲（或母亲）；根源


时 态:  
parented, parenting, parents 

名 词:  
parenthood"
parental,"- adj. 父母的
- adv. 父母般地
- 问题儿童教养院

副 词:  
parentally"
parenthesis,"- n. 插入语,插入成分
- 圆括号
- 间歇,插曲"
parity,"- n. 同等,相等,对等
- 奇偶校验"
parties,n. 当事人；聚会；党派；政党机关；同行者（party的复数）
pasture,"- n. 牧场；牧草；草地
- vt. 放牧；吃草


时 态:  
pastured, pasturing, pastures 

形容词:  
pasturable"
pathogen,"n. 病菌,病原体"
pathology,"- n. 病理(学)
- n. 病理学家

名 词:  
pathologist"
patronize,"- vt. 以高人一等的态度对待
- 光顾, 惠顾

时 态:  
patronized, patronizing, patronizes"
pearl,"- n. 珍珠；杰出者；珍珠色；珍品
- adj. 镶珍珠的；珍珠状的
- vi. 采珍珠；成珍珠状
- vt. 使成珠状；用珍珠装饰；使呈珍珠色

Pearln. 珀尔（女子名）

时 态:  
pearled, pearling, pearls"
pediatric,adj. 小儿科的
peek,"- n. 偷看；一瞥，看一眼
- vi. 窥视，偷看

PEEK聚醚醚酮

时 态:  
peeked, peeking, peeks"
penalize,"vt. 处罚；处刑；使不利


时 态:  
penalized, penalizing, penalizes 

名 词:  
penalization"
penguin,n. 企鹅；[美俚]空军地勤人员
peon,n. 日工；劳工；雇农；被强制劳役以还债的工人
percolating,n. 渗透
period,"- n. (一段)时间
- 时期, 时代
- 学时, 课时
- 句号, 句点"
permanent,"adj. 永久(性)的, 固定的

副 词:  
permanently"
permeate,"- vt. 弥漫；渗透，透过
- vi. 透入；弥漫；散布


时 态:  
permeated, permeating, permeates 

形容词:  
permeant

名 词:  
permeation"
perpetual,"- adj. 永久的; 终身的
- 不断的; 常发生的

副 词:  
perpetually"
perplex,"vt. 使困惑，使为难；使复杂化


时 态:  
perplexed, perplexing, perplexes"
perseverance,n. 坚持不懈；不屈不挠
perspective,"- n. 远景，景
- 前途；希望
- 透视
- 透视图
- 观点，想法

副 词:  
perspectively"
pertinent,"adj. 有关的; 中肯的; 恰当的

副 词:  
pertinently"
perturb,"vt. 使(某人)烦恼；不安

时 态:  
perturbed，perturbing，perturbs"
pharmacy,n. 药房；制药业；配药学，药剂学；一批备用药品
phenomenon,"- n. 现象
- 特殊的人[事物]

复 数: 
phenomena"
photography,n. 摄影术
piecemeal,"- adv. 一块一块地;一件一件地;零碎地
- adj. 一块一块的;一件一件的;零碎的"
pilot,"pilot
  [piloted, piloted, piloting]
 pilot through 
  1.   pilot sb through sth to carefully show someone exactly how to do something, or where to go, especially when it is very complicated and confusing:
   ▪ Part of your job will be to pilot clients through the legal requirements of forming companies.
   ▪ Students will need to be piloted through the maze of options that are available to them..
   ■ SIMILAR TO: guide (through)
  2.   pilot sth through • pilot through sth • pilot sth through sth to be responsible for making sure that a new law or plan is officially accepted by the government or people in authority:
   ▪ David Mellor, the Home Office minister at that time, piloted the Bill through Parliament."
pinch,"- vt. 捏；勒索；使苦恼；掐掉某物，修剪
- n. 匮乏；少量；夹痛
- vi. 夹痛；节省


时 态:  
pinched, pinching, pinches"
pit,"pit
  [pitted, pitted, pitting]
 pit against 
     pit sb/sth against sb/sth to make someone or something fight or compete against another person or thing, in order to see which one will win:
   ▪ In the finals Clark and Taylor were pitted against two other top players.
   ▪ The war pitted Serbia against Croatia and Bosnia.
   ▪ The girls plan to pit their talents against the boys' in the end-of-term competition.
 pit out 
     pit out • pit out sth • pit sth out AmE spoken informal to sweat so much that your clothes become wet under your arms:
   ▪ It was so hot in there, I totally pitted out my shirt.
   ■ SIMILAR TO: ↑sweat, perspire  formal"
pitch,"pitch
  [pitched, pitched, pitching]
 pitch for 
     pitch for sth to try to get something that others are competing for too, especially some business or a job, by making an offer for it, or trying to persuade people to give it to you:
   ▪ GGT pitched for Cusson's media business as early as last August.
 pitch in 
  1.   pitch in informal to help other people to do work that needs to be done, especially in a willing and cheerful way:
   ▪ Everyone pitched in, working day and night to get the new club ready on time.
   + with
   ▪ After the floods, volunteers pitched in with trucks to help the three thousand residents.
   ■ SIMILAR TO: ↑muck in  BrE informal
  2.   pitch in informal to help someone that you know by giving them money:
   ▪ Eventually, when Mary needed a car, all her family and friends pitched in.
   ■ SIMILAR TO: ↑contribute
  3.   pitch in informal to give your opinion during a discussion in which a lot of people are involved:
   + with
   ▪ When Simon had finished giving his report, the chairman asked everyone to pitch in with their views.
 pitch into 
  1.   pitch into sth BrE to start doing some work that needs to be done in a willing and cheerful way:
   ▪ More than 20,000 young people throughout Britain rolled up their sleeves and pitched into an annual countryside clean-up.
  2.   pitch into sb BrE to attack someone, either by hitting them hard, or by criticizing them strongly:
   ▪ Owen wasn't prepare to watch anyone being attacked, so he pitched into the youths and they ran away.
   ▪ I'd only come to ask for Wesley's advice, and I was shocked when he turned round and pitched into me.
   ■ SIMILAR TO: ↑lay into  informal
 pitch up 
     pitch up BrE informal if someone that you know pitches up, they arrive where you are, or where you are waiting for them:
   ▪ Bill hasn't pitched up yet, has he?
   ▪ Then my American friend pitched up with the news that we were all meeting at the disco.
   ■ SIMILAR TO: ↑turn up, ↑show up  informal"
pitted,"adj. 有凹痕的,去核的"
pivot,"pivot
  [pivoted, pivoted, pivoting]
 pivot on 
     pivot on sth to depend or be based on something in order to be possible or successful:
   ▪ &quot;Concentrate,&quot; said Fielding, &quot;the entire plan pivots on this decision.&quot;
   ■ SIMILAR TO: ↑hang on, ↑depend on, ↑hinge on"
plagiarism,"- n. 剽窃,抄袭
- 剽窃物,抄袭物

名 词:  
plagiarist

形容词:  
plagiaristic"
plain,"- n. 平原
- adj. 清晰的；明白的
- 朴素的；简单的；平常的
- 坦白的，坦率的，真诚的
- 完全的；十足的；彻底的

比较级:  
plainer，plainest 
缩 写:  
pln

副 词:  
plainly

名 词:  
plainness"
plant,"plant
  [planted, planted, planting]
 plant out 
     plant sth out • plant out sth BrE if you plant out small plants that have been growing indoors in pots, you plant them outside in the ground, where they can continue to grow:
   ▪ Tomatoes that have been grown indoors can be planted out in May or early June.
 plant over 
     plant over sth • plant sth over to put flowers or other plants into the ground so that they cover it
 plant up 
     plant up sth • plant sth up BrE to plant flowers, plants, vegetables etc in a container:
   ▪ Many gardeners plant up colourful tubs, window boxes and baskets for the summer."
plasma physics,等离子物理
plate,"- n. 盘子, 碟
- 金属牌
- 平板, 薄片
- vt. 镀, 电镀

时 态:  
plated, plating, plates 

名 词:  
plater"
Plato,"n. (427-347BC,古希腊哲学家)柏拉图"
Platon,n. 普拉登（姓氏）
Platonist,n. 柏拉图学派的人
